CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD155,PVR,5817,CD155 HVED NECL5 Necl-5 PVS TAGE4,19q13.31,poliovirus receptor,poliovirus receptor; nectin-like protein 5
CD156a,ADAM8,101,CD156 CD156a MS2,10q26.3,ADAM metallopeptidase domain 8,disintegrin and metalloproteinase domain-containing protein 8; a disintegrin and metalloproteinase domain 8; cell surface antigen MS2; human leukocyte differentiation antigen
CD156b,ADAM17,6868,ADAM18 CD156B CSVP NISBD NISBD1 TACE,2p25.1,ADAM metallopeptidase domain 17,"disintegrin and metalloproteinase domain-containing protein 17; ADAM metallopeptidase domain 18; TNF-alpha convertase; TNF-alpha converting enzyme; snake venom-like protease; tumor necrosis factor, alpha, converting enzyme"
CD156C,ADAM10,102,AD10 AD18 CD156c CDw156 HsT18717 MADM RAK kuz,15q21.3,ADAM metallopeptidase domain 10,disintegrin and metalloproteinase domain-containing protein 10; a disintegrin and metalloprotease domain 10; kuzbanian protein homolog; mammalian disintegrin-metalloprotease
CD157,BST1,683,CD157,4p15.32,bone marrow stromal cell antigen 1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2; ADP-ribosyl cyclase 2; NAD(+) nucleosidase; bone marrow stromal antigen 1; cADPr hydrolase 2; cyclic ADP-ribose hydrolase 2
CD158A,KIR2DL1,3802,CD158A KIR-K64 KIR221 NKAT NKAT-1 NKAT1 p58.1,19q13.42,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1","killer cell immunoglobulin-like receptor 2DL1; CD158 antigen-like family member A; MHC class I NK cell receptor; killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1; killer inhibitory receptor 2-2-1; natural killer-associated transcript 1; p58 NK cell inhibitory receptor NKR-K6; p58 NK receptor CL-42/47.11; p58 killer cell inhibitory receptor KIR-K64; p58 natural killer cell receptor clones CL-42/47.11; p58.1 MHC class-I-specific NK receptor"
CD158B1,KIR2DL2,3803,CD158B1 CD158b NKAT-6 NKAT6 p58.2,19q13.4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2","killer cell immunoglobulin-like receptor 2DL2; CD158 antigen-like family member B1; MHC class I NK cell receptor; killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2; natural killer-associated transcript 6; p58 NK receptor CL-43; p58 natural killer cell receptor clone CL-43"
CD158B2,KIR2DL3,3804,CD158B2 CD158b GL183 KIR-023GB KIR-K7b KIR-K7c KIR2DS5 KIRCL23 NKAT NKAT2 NKAT2A NKAT2B p58,19q13.42,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3","killer cell immunoglobulin-like receptor 2DL3; CD158 antigen-like family member B2; NKAT-2; killer cell immunoglobulin-like receptor two domains long cytoplasmic tail 3; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5; killer inhibitory receptor cl 2-3; natural killer associated transcript 2; natural killer cell inhibitory receptor KIR2DL3; p58 NK receptor CL-6; p58 natural killer cell receptor clone CL-6; p58.2 MHC class-I specific NK receptor"
CD158C,KIR3DP1,548594,CD158c KIR2DS6 KIR3DS2P KIR48 KIRX,19q13.42,"killer cell immunoglobulin like receptor, three Ig domains pseudogene 1","killer cell immunoglobulin-like receptor, three domains, pseudogene 1; killer-cell Ig-like receptor pseudogene"
CD158D,KIR2DL4,3805,CD158D G9P KIR-103AS KIR-2DL4 KIR103 KIR103AS,19q13.42,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4","killer cell immunoglobulin-like receptor 2DL4; CD158 antigen-like family member D; MHC class I NK cell receptor KIR103AS; killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4; killer cell inhibitory receptor 103AS"
CD158E1,KIR3DL1,3811,CD158E1 KIR KIR3DL1/S1 NKAT-3 NKAT3 NKB1 NKB1B,19q13.42,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1","killer cell immunoglobulin-like receptor 3DL1; CD158 antigen-like family member E; HLA-BW4-specific inhibitory NK cell receptor; KIR antigen 3DL1; killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1; natural killer-associated transcript 3; p70 NK receptor CL-2/CL-11; p70 killer cell inhibitory receptor; p70 natural killer cell receptor clones CL-2/CL-11"
CD158E2,KIR3DS1,3813,CD158E2 KIR-123FM KIR-G1 NKAT-10 NKAT10,19q13.4,"killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1","killer cell immunoglobulin-like receptor 3DS1; killer cell immunoglobulin-like receptor KIR3DS1; killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1; natural killer-associated transcript 10"
CD158F,KIR2DL5A,57292,CD158F KIR2DL5 KIR2DL5.1 KIR2DL5.3,19p13.3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A","killer cell immunoglobulin-like receptor 2DL5A; killer cell immunoglobulin-like receptor KIR2DL5A; killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5; killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A"
CD158G,KIR2DS5,3810,CD158G NKAT9,19q13.4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5","killer cell immunoglobulin-like receptor 2DS5; LOW QUALITY PROTEIN: killer cell immunoglobulin-like receptor 2DS5; CD158 antigen-like family member G; NKAT-9; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5; natural killer cell inhibitory receptor; natural killer-associated transcript 9"
CD158H,KIR2DS1,3806,CD158H CD158a p50.1,19q13.4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1","killer cell immunoglobulin-like receptor 2DS1; CD158 antigen-like family member H; MHC class I NK cell receptor Eb6 ActI; killer cell immunoglobulin-like receptor KIRDS1; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1; killer-cell immunoglobulin-like receptor"
CD158I,KIR2DS4,3809,CD158I KIR-2DS4 KIR1D KIR412 KKA3 NKAT-8 NKAT8,19q13.42,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4","killer cell immunoglobulin-like receptor 2DS4; CD158 antigen-like family member I; KIR antigen 2DS4; P58 natural killer cell receptor clones CL-39/CL-17; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4; killer inhibitory receptor 4-1-2; natural killer-associated transcript 8; p50 killer cell activating receptor KAR-K1d; p58 NK receptor CL-39/CL-17"
CD158J,KIR2DS2,100132285,183ActI CD158J CD158b KIR-2DS2 NKAT-5 NKAT5 cl-49,19q13.4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2","killer cell immunoglobulin-like receptor 2DS2; CD158 antigen-like family member J; MHC class I NK cell receptor; NK receptor 183 ActI; killer cell immunoglobulin-like receptor KIR2DS2; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2; killer-cell Ig-like receptor; killer-cell immunoglobulin-like receptor two domains short tail 2 protein; natural killer associated transcript 5; natural killer cell inhibitory receptor; p58 killer cell inhibitory receptor KIR-K7a; p58 natural killer cell receptor clone CL-49"
CD158K,KIR3DL2,3812,3DL2 CD158K KIR-3DL2 NKAT-4 NKAT4 NKAT4B p140,19q13.42,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2","killer cell immunoglobulin-like receptor 3DL2; CD158 antigen-like family member K; KIR antigen 3DL2; MHC class I NK cell receptor; killer Ig receptor; killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2; killer-cell immunoglobulin-like receptor; natural killer-associated transcript 4; p70 NK receptor CL-5; p70 killer cell inhibitory receptor; p70 natural killer cell receptor clone CL-5"
CD159a,KLRC1,3821,CD159A NKG2 NKG2A,12p13.2,killer cell lectin like receptor C1,"NKG2-A/NKG2-B type II integral membrane protein; C-lectin type II protein; CD159 antigen-like family member A; NK cell receptor A; NKG2-1/B activating NK receptor; NKG2-A/B type II integral membrane protein; NKG2-A/B-activating NK receptor; killer cell lectin-like receptor subfamily C, member 1; natural killer cell lectin; natural killer group protein 2"
CD159c,KLRC2,3822,CD159c NKG2-C NKG2C,12p13.2,killer cell lectin like receptor C2,"NKG2-C type II integral membrane protein; CD159 antigen-like family member C; NK cell receptor C; NKG2-C-activating NK receptor; killer cell lectin-like receptor subfamily C, member 2"
CD160,CD160,11126,BY55 NK1 NK28,1q21.1,CD160 molecule,"CD160 antigen; CD160 transmembrane isoform; CD160-delta Ig; natural killer cell receptor BY55; natural killer cell receptor, immunoglobulin superfamily member"
CD161,KLRB1,3820,CD161 CLEC5B NKR NKR-P1 NKR-P1A NKRP1A hNKR-P1A,12p13.31,killer cell lectin like receptor B1,"killer cell lectin-like receptor subfamily B member 1; C-type lectin domain family 5 member B; killer cell lectin-like receptor subfamily B, member 1; natural killer cell surface protein P1A"
CD162,SELPLG,6404,CD162 CLA PSGL-1 PSGL1,12q24.11,selectin P ligand,P-selectin glycoprotein ligand 1; cutaneous lymphocyte-associated associated antigen
CD163,CD163,9332,M130 MM130 SCARI1,12p13.31,CD163 molecule,scavenger receptor cysteine-rich type 1 protein M130; hemoglobin scavenger receptor; macrophage-associated antigen
CD164,CD164,8763,DFNA66 MGC-24 MGC-24v MUC-24 endolyn,6q21,CD164 molecule,"sialomucin core protein 24; CD164 antigen, sialomucin; multi-glycosylated core protein 24"
CD165,CD165,23449,"-","-",CD165 antigen,CD165 antigen
CD166,ALCAM,214,CD166 MEMD,3q13.11,activated leukocyte cell adhesion molecule,CD166 antigen
CD167a,DDR1,780,CAK CD167 DDR EDDR1 HGK2 MCK10 NEP NTRK4 PTK3 PTK3A RTK6 TRKE,6p21.33,discoidin domain receptor tyrosine kinase 1,"epithelial discoidin domain-containing receptor 1; CD167 antigen-like family member A; PTK3A protein tyrosine kinase 3A; cell adhesion kinase; mammary carcinoma kinase 10; neuroepithelial tyrosine kinase; neurotrophic tyrosine kinase, receptor, type 4; protein-tyrosine kinase RTK-6; tyrosine kinase DDR; tyrosine-protein kinase CAK"
CD167b,DDR2,4921,MIG20a NTRKR3 TKT TYRO10,1q23.3,discoidin domain receptor tyrosine kinase 2,"discoidin domain-containing receptor 2; CD167 antigen-like family member B; cell migration-inducing protein 20; discoidin domain receptor 2; discoidin domain receptor family, member 2; discoidin domain-containing receptor tyrosine kinase 2; hydroxyaryl-protein kinase; migration-inducing gene 16 protein; neurotrophic tyrosine kinase receptor related 3; receptor protein-tyrosine kinase TKT; tyrosine-protein kinase TYRO10; tyrosylprotein kinase"
CD168,HMMR,3161,CD168 IHABP RHAMM,5q34,hyaluronan mediated motility receptor,hyaluronan mediated motility receptor; intracellular hyaluronic acid-binding protein; receptor for hyaluronan-mediated motility
CD169,SIGLEC1,6614,CD169 SIGLEC-1 SN dJ1009E24.1,20p13,sialic acid binding Ig like lectin 1,"sialoadhesin; sialic acid binding Ig-like lectin 1, sialoadhesin; sialic acid-binding immunoglobulin-like lectin 1"
CD170,SIGLEC5,8778,CD170 CD33L2 OB-BP2 OBBP2 SIGLEC-5,19q13.41,sialic acid binding Ig like lectin 5,sialic acid-binding Ig-like lectin 5; CD33 antigen-like 2; OB-binding protein 2; obesity-binding protein 2; sialic acid-binding immunoglobulin-like lectin 5
CD171,L1CAM,3897,CAML1 CD171 HSAS HSAS1 MASA MIC5 N-CAM-L1 N-CAML1 NCAM-L1 S10 SPG1,Xq28,L1 cell adhesion molecule,neural cell adhesion molecule L1; antigen identified by monoclonal antibody R1
CD172a,SIRPA,140885,BIT CD172A MFR MYD-1 P84 PTPNS1 SHPS1 SIRP,20p13,signal regulatory protein alpha,tyrosine-protein phosphatase non-receptor type substrate 1; CD172 antigen-like family member A; brain-immunoglobulin-like molecule with tyrosine-based activation motifs; inhibitory receptor SHPS-1; macrophage fusion receptor; myd-1 antigen; tyrosine phosphatase SHP substrate 1
CD172b,SIRPB1,10326,CD172b SIRP-BETA-1,20p13,signal regulatory protein beta 1,signal-regulatory protein beta-1; CD172 antigen-like family member B
CD172g,SIRPB2,284759,PTPN1L PTPNS1L3 dJ776F14.2,20p13,signal regulatory protein beta 2,"signal-regulatory protein beta-2; SIRP-beta-2; protein tyrosine phosphatase non-receptor type substrate protein; protein tyrosine phosphatase, non-receptor type substrate 1-like 3"
CD173,"-",-,-,-,-,-
CD174,FUT3,2525,CD174 FT3B FucT-III LE Les,19p13.3,fucosyltransferase 3 (Lewis blood group),"galactoside 3(4)-L-fucosyltransferase; Lewis FT; alpha-(1,3/1,4)-fucosyltransferase; blood group Lewis alpha-4-fucosyltransferase; fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group); fucosyltransferase III"
CD175,"-",-,-,-,-,-
CD175s,"-",-,-,-,-,-
CD176,"-",-,-,-,-,-
CD177,CD177,57126,HNA-2a HNA2A NB1 NB1 GP PRV-1 PRV1,19q13.31,CD177 molecule,CD177 antigen; NB1 glycoprotein; cell surface receptor; human neutrophil alloantigen 2a; polycythemia rubra vera protein 1
CD178,FASLG,356,ALPS1B APT1LG1 APTL CD178 CD95-L CD95L FASL TNFSF6 TNLG1A,1q24.3,Fas ligand,"tumor necrosis factor ligand superfamily member 6; CD95 ligand; Fas ligand (TNF superfamily, member 6); apoptosis (APO-1) antigen ligand 1; apoptosis antigen ligand; fas antigen ligand; mutant tumor necrosis factor family member 6; tumor necrosis factor ligand 1A"
CD179a,VPREB1,7441,CD179a IGI IGVPB VPREB,22q11.22,pre-B lymphocyte 1,immunoglobulin iota chain; CD179 antigen-like family member A; v(pre)B protein
CD179b,IGLL1,3543,14.1 AGM2 CD179b IGL1 IGL5 IGLJ14.1 IGLL IGO IGVPB VPREB2,22q11.23,immunoglobulin lambda like polypeptide 1,immunoglobulin lambda-like polypeptide 1; CD179 antigen-like family member B; CD179b antigen; Pre-B lymphocyte-specific protein-2; ig lambda-5; immunoglobulin omega polypeptide chain; immunoglobulin-related 14.1 protein; immunoglobulin-related protein 14.1; lambda5
CD180,CD180,4064,LY64 Ly78 RP105,5q12.3,CD180 molecule,"CD180 antigen; lymphocyte antigen 64; lymphocyte antigen-64, radioprotective, 105kDa; radioprotective 105 kDa protein"
CD181,CXCR1,3577,C-C C-C-CKR-1 CD128 CD181 CDw128a CKR-1 CMKAR1 IL8R1 IL8RA IL8RBA,2q35,C-X-C motif chemokine receptor 1,"C-X-C chemokine receptor type 1; CXC-R1; CXCR-1; IL-8 receptor type 1; IL-8R A; chemokine (C-X-C motif) receptor 1; high affinity interleukin-8 receptor A; interleukin 8 receptor, alpha; interleukin-8 receptor type 1; interleukin-8 receptor type A"
CD182,CXCR2,3579,CD182 CDw128b CMKAR2 IL8R2 IL8RA IL8RB,2q35,C-X-C motif chemokine receptor 2,"C-X-C chemokine receptor type 2; CXC-R2; CXCR-2; CXCR2 gene for IL8 receptor type B; GRO/MGSA receptor; IL-8 receptor type 2; IL-8R B; chemokine (CXC) receptor 2; high affinity interleukin-8 receptor B; interleukin 8 receptor type 2; interleukin 8 receptor, beta; interleukin-8 receptor type B"
CD183,CXCR3,2833,CD182 CD183 CKR-L2 CMKAR3 GPR9 IP10-R Mig-R MigR,Xq13.1,C-X-C motif chemokine receptor 3,C-X-C chemokine receptor type 3; G protein-coupled receptor 9; IP-10 receptor; Mig receptor; chemokine (C-X-C motif) receptor 3; chemokine receptor 3; interferon-inducible protein 10 receptor
CD184,CXCR4,7852,CD184 D2S201E FB22 HM89 HSY3RR LAP-3 LAP3 LCR1 LESTR NPY3R NPYR NPYRL NPYY3R WHIM WHIMS,2q22.1,C-X-C motif chemokine receptor 4,"C-X-C chemokine receptor type 4; CD184 antigen; LPS-associated protein 3; SDF-1 receptor; chemokine (C-X-C motif) receptor 4; chemokine receptor; fusin; leukocyte-derived seven transmembrane domain receptor; lipopolysaccharide-associated protein 3; neuropeptide Y receptor Y3; neuropeptide Y3 receptor; seven transmembrane helix receptor; seven-transmembrane-segment receptor, spleen; stromal cell-derived factor 1 receptor"
CD185,CXCR5,643,BLR1 CD185 MDR15,11q23.3,C-X-C motif chemokine receptor 5,"C-X-C chemokine receptor type 5; Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5); Burkitt lymphoma receptor 1, GTP-binding protein; CXC-R5; CXCR-5; MDR-15; chemokine (C-X-C motif) receptor 5; monocyte-derived receptor 15"
CD186,CXCR6,10663,BONZO CD186 STRL33 TYMSTR,3p21.31,C-X-C motif chemokine receptor 6,C-X-C chemokine receptor type 6; CDw186; CXC-R6; CXCR-6; G protein-coupled receptor; G-protein coupled receptor STRL33; G-protein coupled receptor bonzo; chemokine (C-X-C motif) receptor 6
CD191,CCR1,1230,CD191 CKR-1 CKR1 CMKBR1 HM145 MIP1aR SCYAR1,3p21.31,C-C motif chemokine receptor 1,C-C chemokine receptor type 1; C-C CKR-1; CC-CKR-1; CCR-1; LD78 receptor; MIP-1alpha-R; RANTES receptor; RANTES-R; chemokine (C-C motif) receptor 1; macrophage inflammatory protein 1-alpha receptor
CD192,CCR2,729230,CC-CKR-2 CCR-2 CCR2A CCR2B CD192 CKR2 CKR2A CKR2B CMKBR2 MCP-1-R,3p21.31,C-C motif chemokine receptor 2,C-C chemokine receptor type 2; MCP-1 receptor; chemokine (C-C motif) receptor 2; monocyte chemoattractant protein 1 receptor; monocyte chemotactic protein 1 receptor
CD193,CCR3,1232,CC-CKR-3 CD193 CKR3 CMKBR3,3p21.31,C-C motif chemokine receptor 3,C-C chemokine receptor type 3; C-C CKR-3; CC chemokine receptor 3; CCR-3; b-chemokine receptor; chemokine (C-C motif) receptor 3; eosinophil CC chemokine receptor 3; eosinophil eotaxin receptor
CD194,CCR4,1233,CC-CKR-4 CD194 CKR4 CMKBR4 ChemR13 HGCN:14099 K5-5,3p22.3,C-C motif chemokine receptor 4,C-C chemokine receptor type 4; C-C CKR-4; CCR-4; chemokine (C-C motif) receptor 4; chemokine (C-C) receptor 4
CD195,CCR5,1234,CC-CKR-5 CCCKR5 CCR-5 CD195 CKR-5 CKR5 CMKBR5 IDDM22,3p21.31,C-C motif chemokine receptor 5 (gene/pseudogene),C-C chemokine receptor type 5; C-C motif chemokine receptor 5 A159A; HIV-1 fusion coreceptor; chemokine (C-C motif) receptor 5; chemokine receptor CCR5; chemr13
CD196,CCR6,1235,BN-1 C-C CKR-6 CC-CKR-6 CCR-6 CD196 CKR-L3 CKRL3 CMKBR6 DCR2 DRY6 GPR29 GPRCY4 STRL22,6q27,C-C motif chemokine receptor 6,"C-C chemokine receptor type 6; G protein-coupled receptor 29; LARC receptor; chemokine (C-C motif) receptor 6; chemokine (C-C) receptor 6; chemokine receptor-like 3; seven-transmembrane receptor, lymphocyte, 22"
CD197,CCR7,1236,BLR2 CC-CKR-7 CCR-7 CD197 CDw197 CMKBR7 EBI1,17q21.2,C-C motif chemokine receptor 7,C-C chemokine receptor type 7; Bukitt's lymphoma receptor 2; CC chemokine receptor 7; EBV-induced G protein-coupled receptor 1; Epstein-Barr virus induced gene 1; Epstein-Barr virus-induced G-protein coupled receptor 1; MIP-3 beta receptor; chemokine (C-C motif) receptor 7; lymphocyte-specific G protein-coupled peptide receptor
CD198,CCR8,1237,CC-CKR-8 CCR-8 CDw198 CKRL1 CMKBR8 CMKBRL2 CY6 GPRCY6 TER1,3p22.1,C-C motif chemokine receptor 8,C-C chemokine receptor type 8; CC chemokine receptor 8; CC chemokine receptor CHEMR1; CC-chemokine receptor chemr1; chemokine (C-C motif) receptor 8; chemokine (C-C) receptor 8; chemokine (C-C) receptor-like 2; chemokine receptor-like 1
CD199,CCR9,10803,CC-CKR-9 CDw199 GPR-9-6 GPR28,3p21.31,C-C motif chemokine receptor 9,C-C chemokine receptor type 9; G protein-coupled receptor 28; chemokine (C-C motif) receptor 9
CD200,CD200,4345,MOX1 MOX2 MRC OX-2,3q13.2,CD200 molecule,OX-2 membrane glycoprotein; CD200 antigen; antigen identified by monoclonal antibody MRC OX-2
CD201,PROCR,10544,CCCA CCD41 EPCR,20q11.22,protein C receptor,"endothelial protein C receptor; APC receptor; CD201 antigen; activated protein C receptor; cell cycle, centrosome-associated protein; centrocyclin; protein C receptor, endothelial"
CD202b,TEK,7010,CD202B GLC3E TIE-2 TIE2 VMCM VMCM1,9p21.2,TEK receptor tyrosine kinase,"angiopoietin-1 receptor; TEK tyrosine kinase, endothelial; endothelial tyrosine kinase; tunica interna endothelial cell kinase; tyrosine kinase with Ig and EGF homology domains-2; tyrosine-protein kinase receptor TEK; tyrosine-protein kinase receptor TIE-2"
CD203c,ENPP3,5169,B10 CD203c NPP3 PD-IBETA PDNP3,6q23.2,ectonucleotide pyrophosphatase/phosphodiesterase 3,ectonucleotide pyrophosphatase/phosphodiesterase family member 3; dJ1005H11.3 (phosphodiesterase I/nucleotide pyrophosphatase 3); dJ914N13.3 (phosphodiesterase I/nucleotide pyrophosphatase 3); gp130RB13-6; phosphodiesterase I/nucleotide pyrophosphatase 3; phosphodiesterase-I beta
CD204,MSR1,4481,CD204 SCARA1 SR-A SR-AI SR-AII SR-AIII SRA phSR1 phSR2,8p22,macrophage scavenger receptor 1,macrophage scavenger receptor types I and II; macrophage acetylated LDL receptor I and II; macrophage scavenger receptor type III; scavenger receptor class A member 1
CD205,LY75,4065,CD205 CLEC13B DEC-205 GP200-MR6 LY-75,2q24.2,lymphocyte antigen 75,lymphocyte antigen 75; C-type lectin domain family 13 member B
CD206,MRC1,4360,CD206 CLEC13D CLEC13DL MMR MRC1L1 bA541I19.1 hMR,10p12.33,mannose receptor C-type 1,"macrophage mannose receptor 1; C-type lectin domain family 13 member D; human mannose receptor; macrophage mannose receptor 1-like protein 1; mannose receptor, C type 1-like 1"
CD207,CD207,50489,CLEC4K,2p13.3,CD207 molecule,"C-type lectin domain family 4 member K; C-type lectin domain family 4, member K; CD207 antigen, langerin; CD207 molecule, langerin; Langerhans cell specific c-type lectin"
CD208,LAMP3,27074,CD208 DC LAMP DC-LAMP DCLAMP LAMP LAMP-3 TSC403,3q27.1,lysosomal associated membrane protein 3,lysosome-associated membrane glycoprotein 3; DC-lysosome-associated membrane glycoprotein
CD209,CD209,30835,CDSIGN CLEC4L DC-SIGN DC-SIGN1,19p13.2,CD209 molecule,CD209 antigen; C-type lectin domain family 4 member L; HIV gpl20-binding protein; dendritic cell-specific ICAM-3-grabbing non-integrin 1; dendritic cell-specific intercellular adhesion molecule-3-grabbing non-integrin; dendritic cell-specific intracellular adhesion molecules (ICAM)-3 grabbing non-integrin
CD210a,IL10RA,3587,CD210 CD210a CDW210A HIL-10R IL-10R1 IL10R,11q23.3,interleukin 10 receptor subunit alpha,"interleukin-10 receptor subunit alpha; IL-10 receptor subunit alpha; IL-10R subunit 1; IL-10R subunit alpha; IL-10RA; interleukin 10 receptor, alpha; interleukin-10 receptor alpha chain; interleukin-10 receptor subunit 1"
CD210b,IL10RB,3588,CDW210B CRF2-4 CRFB4 D21S58 D21S66 IL-10R2,21q22.11,interleukin 10 receptor subunit beta,"interleukin-10 receptor subunit beta; IL-10 receptor subunit beta; IL-10R subunit 2; IL-10R subunit beta; IL-10RB; cytokine receptor class-II CRF2-4; cytokine receptor class-II member 4; cytokine receptor family 2 member 4; cytokine receptor family II, member 4; interleukin 10 receptor, beta; interleukin-10 receptor subunit 2"
CD212,IL12RB1,3594,CD212 IL-12R-BETA1 IL12RB IMD30,19p13.11,interleukin 12 receptor subunit beta 1,"interleukin-12 receptor subunit beta-1; IL-12 receptor beta component; IL-12 receptor subunit beta-1; IL-12R subunit beta-1; cluster of differentiation 212; interleukin 12 receptor, beta 1; interleukin-12 receptor beta-1 chain"
CD213a1,IL13RA1,3597,CD213A1 CT19 IL-13Ra NR4,Xq24,interleukin 13 receptor subunit alpha 1,"interleukin-13 receptor subunit alpha-1; CD213a1 antigen; IL-13 receptor subunit alpha-1; IL-13R subunit alpha-1; IL13 receptor alpha-1 chain; cancer/testis antigen 19; interleukin 13 receptor, alpha 1"
CD213a2,IL13RA2,3598,CD213A2 CT19 IL-13R IL13BP,Xq23,interleukin 13 receptor subunit alpha 2,"interleukin-13 receptor subunit alpha-2; IL-13 receptor subunit alpha-2; IL-13R subunit alpha-2; IL-13R-alpha-2; IL-13RA2; cancer/testis antigen 19; interleukin 13 binding protein; interleukin 13 receptor alpha 2 chain; interleukin 13 receptor, alpha 2"
CD215,IL15RA,3601,CD215,10p15.1,interleukin 15 receptor subunit alpha,"interleukin-15 receptor subunit alpha; interleukin 15 receptor alpha isoform EM2; interleukin 15 receptor alpha isoform IC2; interleukin 15 receptor alpha isoform IC3; interleukin 15 receptor alpha isoform IC4; interleukin 15 receptor alpha isoform IC5; interleukin 15 receptor alpha isoform IC6; interleukin 15 receptor alpha isoform IC7; interleukin 15 receptor alpha isoform IC8; interleukin 15 receptor, alpha"
CD217,IL17RA,23765,CANDF5 CD217 CDw217 IL-17RA IL17R IMD51 hIL-17R,22q11.1,interleukin 17 receptor A,interleukin-17 receptor A; IL-17 receptor A
CD218a,IL18R1,8809,CD218a CDw218a IL-1Rrp IL18RA IL1RRP,2q12.1,interleukin 18 receptor 1,interleukin-18 receptor 1; CD218 antigen-like family member A; IL-18R-1; IL-18R1; IL1 receptor-related protein; IL18Ralpha2; IL1R-rp; cytokine receptor
CD218b,IL18RAP,8807,ACPL CD218b CDw218b IL-18R-beta IL-18RAcP IL-18Rbeta IL-1R-7 IL-1R7 IL-1RAcPL IL18RB,2q12.1,interleukin 18 receptor accessory protein,interleukin-18 receptor accessory protein; CD218 antigen-like family member B; IL-18 receptor accessory protein; IL-18 receptor beta; cluster of differentiation w218b; interleukin-1 receptor 7; interleukin-18 receptor beta
CD220,INSR,3643,CD220 HHF5,19p13.2,insulin receptor,insulin receptor; IR
CD221,IGF1R,3480,CD221 IGFIR IGFR JTK13,15q26.3,insulin like growth factor 1 receptor,insulin-like growth factor 1 receptor; IGF-I receptor; soluble IGF1R variant 1; soluble IGF1R variant 2
CD222,IGF2R,3482,CD222 CI-M6PR CIMPR M6P-R M6P/IGF2R MPR 300 MPR1 MPR300 MPRI,6q25.3,insulin like growth factor 2 receptor,cation-independent mannose-6-phosphate receptor; 300 kDa mannose 6-phosphate receptor; CI Man-6-P receptor; IGF-II receptor; M6P/IGF2 receptor; insulin-like growth factor II receptor
CD223,LAG3,3902,CD223,12p13.31,lymphocyte activating 3,lymphocyte activation gene 3 protein; lymphocyte-activation gene 3
CD224,GGT1,2678,CD224 D22S672 D22S732 GGT GGT 1 GTG,22q11.23,gamma-glutamyltransferase 1,gamma-glutamyltranspeptidase 1; glutathione hydrolase 1; leukotriene-C4 hydrolase; testicular tissue protein Li 73
CD225,IFITM1,8519,9-27 CD225 DSPA2a IFI17 LEU13,11p15.5,interferon induced transmembrane protein 1,interferon-induced transmembrane protein 1; dispanin subfamily A member 2a; interferon-induced protein 17; interferon-inducible protein 9-27; leu-13 antigen
CD226,CD226,10666,DNAM-1 DNAM1 PTA1 TLiSA1,18q22.2,CD226 molecule,CD226 antigen; DNAX accessory molecule-1; T lineage-specific activation antigen 1 antigen; adhesion glycoprotein; platelet and T cell activation antigen 1
CD227,MUC1,4582,ADMCKD ADMCKD1 CA 15-3 CD227 EMA H23AG KL-6 MAM6 MCD MCKD MCKD1 MUC-1 MUC-1/SEC MUC-1/X MUC1/ZD PEM PEMT PUM,1q22,"mucin 1, cell surface associated","mucin-1; H23 antigen; breast carcinoma-associated antigen DF3; cancer antigen 15-3; carcinoma-associated mucin; episialin; krebs von den Lungen-6; mucin 1, transmembrane; peanut-reactive urinary mucin; polymorphic epithelial mucin; tumor associated epithelial mucin; tumor-associated epithelial membrane antigen"
